Valor,TipoAluguel,Iptu,Area,Quartos,Banheiros,Vagas,Cidade,Endereco
"
1100
",dia,0,"
280
","
3
","
2
","
4
",florianopolis,"Rua Fernandes Francisco Coutinho, Canasvieiras"
"
1500
",dia,0,"
295
","
4
","
5
","
2
",florianopolis,"Rua dos Aruanãs, Jurerê Internacional"
"
700
",dia,0,"
320
","
3
","
1
","
2
",florianopolis,"Travessa dos Linguados, Jurerê Internacional"
"
1800
",dia,0,"
320
","
4
","
2
","
2
",florianopolis,"Rua das Piraúnas, Jurerê Internacional"
"
580
",dia,0,"
90
","
2
","
2
","
1
",florianopolis,"Rua Leonel Pereira, Cachoeira do Bom Jesus"
"
2650
",mês, 45,"
140
","
3
","
2
","
1
",florianopolis,"Ingleses do Rio Vermelho, Florianópolis"
"
2200
",dia,0,"
300
","
4
","
1
","
2
",florianopolis,"Rua dos Arenques, Jurerê Internacional"
"
2400
",dia,0,"
500
","
5
","
3
","
6
",florianopolis,"Rua Recanto das Papoulas, Daniela"
"
1600
",dia,0,"
300
","
5
","
4
","
4
",florianopolis,"Rua Amarilis, Ingleses do Rio Vermelho"
"
3300
",mês, 245,"
410
","
3
","
4
","
3
",florianopolis,"Rua Luiz D'Acampora, Jardim Atlântico"
"
2000
",mês,0,"
90
","
2
","
2
","
2
",florianopolis,"Servidão Caminho das Orquídeas, São João do Rio Vermelho"
"
1900
",dia,0,"
380
","
4
","
1
","
2
",florianopolis,"Rua das Guaracemas, Jurerê Internacional"
"
3490
",dia,0,"
520
","
6
","
3
","
4
",florianopolis,"Rua dos Cambuatas, Jurerê"
"
2310
",dia,0,"
300
","
4
","
5
","
2
",florianopolis,"Rua dos Cumurupis, Jurerê Internacional"
"
6500
",dia,0,"
700
","
7
","
9
","
5
",florianopolis,"Rua dos Camuris, Jurerê Internacional"
"
2500
",dia,0,"
380
","
5
","
1
","
2
",florianopolis,"Rua das Garoupas, Jurerê Internacional"
"
3500
",mês, 54,"
116
","
3
","
2
","
2
",florianopolis,"Rua da Cássia Aleluia, Cachoeira do Bom Jesus"
"
1500
",dia,0,"
300
","
4
","
3
","
2
",florianopolis,"Rua dos Corais, Jurerê Internacional"
"
1400
",mês, 50,"
83
","
2
","
2
","
2
",florianopolis,"Travessa Nagibo Ambrosio Marques, Ingleses do Rio Vermelho"
"
2600
",dia,0,"
450
","
7
","
7
","
4
",florianopolis,"Jurerê Internacional, Florianópolis"
"
4500
",dia,0,"
700
","
5
","
3
","
6
",florianopolis,"Rua dos Camuris, Jurerê Internacional"
"
2800
",mês, 501,"
160
","
3
","
2
","
1
",florianopolis,"Rua Coronel Lopes Vieira, Centro"
"
1800
",dia,0,"
420
","
4
","
1
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
1800
",dia,0,"
400
","
4
","
1
","
2
",florianopolis,"Rua das Sapopemas, Jurerê"
"
2599
",dia,0,"
300
","
5
","
6
","
3
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
3100
",mês, 124,"
110
","
2
","
2
","
1
",florianopolis,"Rua Acadêmico Reinaldo Consoni, Córrego Grande"
"
8000
",dia,0,"
700
","
6
","
7
","
4
",florianopolis,"Avenida dos Pampos, Jurerê Internacional"
"
1800
",dia,0,"
330
","
5
","
5
","
1
",florianopolis,"Jurerê Internacional, Florianópolis"
"
3500
",dia,0,"
638
","
5
","
1
","
6
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
1000
",dia,0,"
380
","
3
","
2
","
2
",florianopolis,"Avenida dos Salmões, Jurerê Internacional"
"
650
",dia,0,"
110
","
3
","
3
","
1
",florianopolis,"Ponta das Canas, Florianópolis"
"
1500
",mês, 10,"
64
","
2
","
2
","
1
",florianopolis,"Ingleses do Rio Vermelho, Florianópolis"
"
3000
",dia,0,"
300
","
5
","
1
","
3
",florianopolis,"Travessa dos Paratis, Jurerê Internacional"
"
2500
",dia,0,"
420
","
4
","
1
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
3440
",mês, 109,"
200
","
4
","
4
","
2
",florianopolis,"Balneário, Florianópolis"
"
2000
",dia,0,"
420
","
5
","
1
","
2
",florianopolis,"Rua Professor Manoel do Lago Almeida, Jurerê"
"
4000
",dia,0,"
420
","
6
","
1
","
3
",florianopolis,"Rua dos Cumurupis, Jurerê Internacional"
"
1500
",dia,0,"
400
","
6
","
1
","
4
",florianopolis,"Rua da Baliza, Cachoeira do Bom Jesus"
"
460
",dia,0,"
60
","
2
","
2
","
2
",florianopolis,"Servidão Manoel Eugênio Jorge, Ingleses do Rio Vermelho"
"
1450
",mês, 70,"
100
","
2
","
1
","
1
",florianopolis,"Vargem Pequena, Florianópolis"
"
1999
",dia,0,"
320
","
5
","
5
","
2
",florianopolis,"Rua das Garoupas, Jurerê Internacional"
"
2500
",dia,0,"
580
","
7
","
4
","
1
",florianopolis,"Avenida dos Salmões, Jurerê Internacional"
"
750
",dia,0,"
150
","
2
","
2
","
2
",florianopolis,"Jurerê Internacional, Florianópolis"
"
1800
",dia,0,"
425
","
4
","
6
","
4
",florianopolis,"Rua dos Marimbaus, Jurerê Internacional"
"
2500
",dia,0,"
470
","
4
","
5
","
2
",florianopolis,"Avenida dos Búzios, Jurerê Internacional"
"
3200
",mês, 10,"
120
","
2
","
3
","
2
",florianopolis,"Servidão Emília Custódia Vieira, Rio Tavares"
"
1800
",mês, 43,"
67
","
2
","
2
","
1
",florianopolis,"Rua Desembargador Gil Costa, Estreito"
"
800
",dia,0,"
400
","
6
","
7
","
4
",florianopolis,"Rua das Piraúnas, Jurerê Internacional"
"
1000
",dia,0,"
230
","
4
","
1
","
3
",florianopolis,"Rua dos Gerânios, Daniela"
"
2900
",mês, 67,"
140
","
3
","
2
","
1
",florianopolis,"Santa Mônica, Florianópolis"
"
4500
",dia,0,"
250
","
5
","
5
","
4
",florianopolis,"Jurerê Internacional, Florianópolis"
"
2800
",dia,0,"
400
","
4
","
4
","
2
",florianopolis,"Rua dos Meros, Jurerê Internacional"
"
600
",dia,0,"
95
","
2
","
2
","
2
",florianopolis,"Servidão Rosalina Amélia dos Santos, São João do Rio Vermelho"
"
3000
",dia,0,"
150
","
3
","
4
","
2
",florianopolis,"Ponta das Canas, Florianópolis"
"
1700
",mês, 75,"
192
","
3
","
3
","
2
",florianopolis,"Rua do Sol Nascente, Tapera"
"
1200
",dia,0,"
280
","
3
","
1
","
1
",florianopolis,"Travessa das Pescadas, Jurerê Internacional"
"
1400
",dia,0,"
180
","
3
","
2
","
2
",florianopolis,"Rua João Pacheco da Costa, Lagoa da Conceição"
"
1000
",dia,0,"
280
","
3
","
1
","
1
",florianopolis,"Rua das Guarajubas, Jurerê Internacional"
"
1100
",dia,0,"
500
","
4
","
5
","
3
",florianopolis,"Rua dos Lambari-Guaçu, Jurerê Internacional"
"
2750
",mês,0,"
100
","
4
","
2
","
3
",florianopolis,"Rua da Concórdia, Balneário"
"
2230
",mês, 55,"
100
","
2
","
2
","
1
",florianopolis,"Ingleses do Rio Vermelho, Florianópolis"
"
1100
",mês,0,"
50
","
2
","
1
","
1
",florianopolis,"Servidão Olaria do Sul, Pântano do Sul"
"
1950
",dia,0,"
350
","
4
","
1
","
1
",florianopolis,"Rua das Guaracemas, Jurerê Internacional"
"
1800
",dia,0,"
470
","
4
","
2
","
2
",florianopolis,"Rua das Piracemas, Jurerê Internacional"
"
1950
",dia,0,"
350
","
4
","
1
","
1
",florianopolis,"Rua das Guaracemas, Jurerê Internacional"
"
1800
",dia,0,"
470
","
4
","
2
","
2
",florianopolis,"Rua das Piracemas, Jurerê Internacional"
"
1020
",mês, 38,"
86
","
2
","
1
","
1
",florianopolis,"Saco dos Limões, Florianópolis"
"
1000
",dia,0,"
208
","
3
","
1
","
2
",florianopolis,"Rua dos Cambuatas, Jurerê"
"
1700
",mês,0,"
80
","
2
","
1
","
1
",florianopolis,"Servidão João Gonçalves Pereira, Rio Tavares"
"
1600
",mês, 25,"
84
","
2
","
2
","
1
",florianopolis,"Rua José Luiz Vieira, Jardim Atlântico"
"
800
",dia,0,"
350
","
4
","
1
","
1
",florianopolis,"Rua dos Chernes, Jurerê"
"
1000
",dia,0,"
280
","
3
","
1
","
1
",florianopolis,"Rua das Guarajubas, Jurerê Internacional"
"
2000
",dia,0,"
330
","
4
","
1
","
2
",florianopolis,"Rua das Tibiras, Jurerê Internacional"
"
2450
",mês, 320,"
76
","
2
","
2
","
1
",florianopolis,"Santo Antônio de Lisboa, Florianópolis"
"
4500
",mês, 145,"
172
","
3
","
3
","
2
",florianopolis,"Barra da Lagoa, Florianópolis"
"
1400
",dia,0,"
150
","
4
","
2
","
3
",florianopolis,"Canasvieiras, Florianópolis"
"
1800
",mês, 83,"
101
","
2
","
2
","
1
",florianopolis,"Rua Clemente Rovere, Centro"
