Valor,TipoAluguel,Condominio,Area,Quartos,Banheiros,Vagas,Uri,Cidade,Endereco
1500,Mês,   550  , 68 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-68m2-aluguel-RS1500-id-2483176594/,florianopolis,"Avenida Luiz Boiteux Piazza - Cachoeira do Bom Jesus, Florianópolis - SC"
2600,Mês,   715  , 107 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-107m2-aluguel-RS2600-id-2487975079/,florianopolis,"Rua Cristóvão Nunes Pires - Centro, Florianópolis - SC"
4750,Mês,   1123  , 184 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-florianopolis-com-garagem-184m2-venda-RS1890000-id-2492711908/,florianopolis,"Rua João Meirelles, 1415 - Abraão, Florianópolis - SC"
1850,Mês,   387  , 118 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-118m2-aluguel-RS1850-id-2472791773/,florianopolis,"Rua João Meirelles, 1248 AP_ 606-B_G57_BOX9 - Abraão, Florianópolis - SC"
4000,Mês,0, 56 , 1 , 1 , 1 ,https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-56m2-venda-RS749000-id-2492285999/,florianopolis,"Rua Desembargador Arno Hoeschl, 290 - Centro, Florianópolis - SC"
5200,Mês,0, 67 , 1 , 1 , 1 ,https://www.vivareal.com.br//imovel/apartamento-1-quartos-florianopolis-com-garagem-67m2-venda-RS1338000-id-2492300351/,florianopolis,"Rua Doutor Armínio Tavares, 176 - Centro, Florianópolis - SC"
3200,Mês,   450  , 47 , 1 , 1 , 1 ,https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-florianopolis-com-garagem-47m2-aluguel-RS3200-id-2490665675/,florianopolis,"Rua Irmão Joaquim, 226 - Centro, Florianópolis - SC"
1800,Mês,0, 43 ,0,0,0,https://www.vivareal.com.br//imovel/ponto-comercial-centro-bairros-florianopolis-com-garagem-43m2-aluguel-RS1800-id-2487789777/,florianopolis,"Rua Crispim Mira, 405 - Centro, Florianópolis - SC"
2300,Mês,   800  , 70 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-pantanal-bairros-florianopolis-com-garagem-70m2-aluguel-RS2300-id-2488674278/,florianopolis,"Rua Deputado Antônio Edu Vieira, 200 - Saco dos Limões, Florianópolis - SC"
1150,Mês,0, 41 ,0,0,0,https://www.vivareal.com.br//imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-41m2-venda-RS400000-id-2449529945/,florianopolis,"Rua Conselheiro Mafra - Centro, Florianópolis - SC"
4000,Mês,   1000  , 187 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-joao-paulo-bairros-florianopolis-com-garagem-187m2-aluguel-RS4000-id-2482609059/,florianopolis,"Rodovia João Paulo - João Paulo, Florianópolis - SC"
1300,Mês,   350  , 59 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-59m2-aluguel-RS1300-id-2492333603/,florianopolis,"Rodovia Admar Gonzaga, 1623 - Itacorubi, Florianópolis - SC"
1200,Mês,0, 20 , 1 , 1 , 1 ,https://www.vivareal.com.br//imovel/apartamento-1-quartos-itacorubi-bairros-florianopolis-20m2-aluguel-RS1200-id-2490117180/,florianopolis,"Servidão do Palmeiras, 165 - Itacorubi, Florianópolis - SC"
2100,Mês,   463  , 77 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-77m2-aluguel-RS2100-id-2484578695/,florianopolis,"Rua Salvatina Feliciana dos Santos, 155 - Itacorubi, Florianópolis - SC"
1300,Mês,   422  , 46 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-coqueiros-bairros-florianopolis-com-garagem-46m2-aluguel-RS1300-id-2492117178/,florianopolis,"Rua Desembargador Pedro Silva, 2202 - Coqueiros, Florianópolis - SC"
3990,Mês,   1221  , 110 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-110m2-aluguel-RS3990-id-2483650176/,florianopolis,"Avenida Professor Othon Gama D'Eça - Centro, Florianópolis - SC"
10000,Mês,0, 141 ,0,0,0,https://www.vivareal.com.br//imovel/ponto-comercial-itacorubi-bairros-florianopolis-com-garagem-141m2-aluguel-RS10000-id-2475451278/,florianopolis,"Rodovia Admar Gonzaga, 2505 - Itacorubi, Florianópolis - SC"
1960,Mês,   483  , 61 , 2 , 2 , 2 ,https://www.vivareal.com.br//imovel/apartamento-2-quartos-itacorubi-bairros-florianopolis-com-garagem-61m2-aluguel-RS1960-id-2491386348/,florianopolis,"Rodovia Amaro Antônio Vieira - Itacorubi, Florianópolis - SC"
3000,Mês,   2500  , 276 , 3 , 3 , 3 ,https://www.vivareal.com.br//imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-276m2-venda-RS1980000-id-2464045889/,florianopolis,"Rua Bocaiúva - Centro, Florianópolis - SC"
